Date,Solar Irradiance,Temperature,Humidity,Wind Speed,Clear Sky Irradiance
20240511,6.41,35.7,28.38,2.18,6.97
20240512,7.41,35.86,25.06,3.67,7.59
20240513,7.03,36.32,20.88,1.82,7.57
20240514,7.03,36.62,22.75,2.24,7.59
20240515,7.23,37.46,21.75,2.38,7.7
20240516,7.14,38.07,18.19,3.26,7.64
20240517,7.38,38.4,16.0,2.99,7.7
20240518,7.42,38.23,15.31,4.63,7.74
20240519,7.02,37.74,18.56,3.12,7.56
20240520,7.44,37.57,16.31,4.79,7.61
20240521,7.56,38.07,23.31,2.31,7.92
20240522,7.92,40.39,14.12,1.81,8.09
20240523,7.8,39.9,10.88,1.8,8.0
20240524,7.46,39.2,15.44,2.23,7.97
20240525,7.29,40.36,16.5,2.35,7.63
20240526,7.22,41.05,14.94,3.52,7.73
20240527,7.87,40.08,11.69,3.41,8.11
20240528,8.26,39.73,9.62,5.02,8.35
20240529,8.09,37.2,12.12,4.53,8.35
20240530,7.86,37.73,28.69,5.7,8.27
20240531,7.7,37.75,29.75,6.02,7.98
20240601,7.42,36.58,29.0,4.98,7.72
20240602,6.97,37.69,32.94,3.83,6.98
20240603,6.9,38.42,24.5,4.19,6.93
20240604,7.04,37.94,27.44,6.18,7.08
20240605,6.88,37.34,36.62,6.33,6.92
20240607,6.73,36.97,36.5,2.73,6.74
20240608,6.74,37.85,26.81,1.66,6.74
20240609,6.78,38.08,25.31,1.88,6.8
20240610,6.86,38.69,21.31,1.93,6.87
20240611,6.9,38.87,21.19,2.45,6.92
20240612,6.94,38.25,29.81,5.12,6.94
20240613,6.82,37.85,31.19,5.51,6.84
20240614,6.82,37.3,34.0,5.26,6.83
20240615,6.79,37.48,33.44,4.21,6.83
20240616,6.76,38.4,34.5,4.48,6.79
20240617,6.78,39.02,31.62,5.62,6.79
20240618,6.8,38.4,31.62,6.43,6.82
20240619,6.8,38.35,34.94,5.91,6.85
20240621,6.66,36.76,39.38,2.73,6.77
20240622,6.72,38.05,30.44,1.75,6.72
20240623,6.81,39.17,25.31,1.76,6.83
20240624,6.84,39.99,21.88,1.9,6.84
20240625,6.64,40.19,23.88,1.91,6.76
20240630,6.55,36.04,52.06,4.84,6.58
